vin;type;description;amount;currency;expenseDate;isFromJuanCarlos;
KM8JU3AC2BU211369;Car purchase;;4200;USD;2026-02-02;true;
KM8JU3AC2BU211369;Tow truck;;175;USD;2026-02-02;true;
KM8JU3AC2BU211369;Inspection;;200;USD;2026-02-02;true;
KM8JU3AC2BU211369;Shipping line;;995;USD;2026-04-19;false;
KM8J23A46GU157791;Car purchase;;5500;USD;2026-02-09;true;
KM8J23A46GU157791;Inspection;;200;USD;2026-02-09;true;
KM8J23A46GU157791;Tow truck;;175;USD;2026-02-09;true;
KM8J23A46GU157791;Shipping line;;995;USD;2026-04-06;false;
KM8J23A46GU157791;Taxes;;1352000;CRC;2026-04-23;false;
KM8J23A46GU157791;Warehouse;;73882;CRC;2026-04-27;false;
KM8J23A46GU157791;Fuel;;12000;CRC;2026-04-27;false;
KM8J23A46GU157791;Other expenses;Encargado de retiro;10000;CRC;2026-04-27;false;
2T1BU4EE2BC684602;Car purchase;;5000;USD;2026-02-15;true;
2T1BU4EE2BC684602;Inspection;;200;USD;2026-02-15;true;
2T1BU4EE2BC684602;Tow truck;;175;USD;2026-02-15;true;
2T1BU4EE2BC684602;Mileage adjustment in USA;;120;USD;2026-02-15;true;
2T1BU4EE2BC684602;Shipping line;;950;USD;2026-04-13;false;
1NXBU4EE9AZ383659;Car purchase;;3500;USD;2026-02-16;true;
1NXBU4EE9AZ383659;Inspection;;200;USD;2026-02-16;true;
1NXBU4EE9AZ383659;Tow truck;;175;USD;2026-02-16;true;
1NXBU4EE9AZ383659;Mileage adjustment in USA;;120;USD;2026-02-16;true;
1NXBU4EE9AZ383659;Shipping line;;950;USD;2026-04-10;false;
1NXBU4EE9AZ383659;Taxes;;935000;CRC;2026-04-23;false;
1NXBU4EE9AZ383659;Warehouse;;72000;CRC;2026-04-29;false;
1NXBU4EE9AZ383659;Fuel;;14000;CRC;2026-04-29;false;
1NXBU4EE9AZ383659;Other expenses;Encargado de retiro;10000;CRC;2026-04-29;false;
KM8JT3AF9FU069833;Car purchase;;5315;USD;2026-02-20;true;
KM8JT3AF9FU069833;Inspection;;200;USD;2026-02-20;true;
KM8JT3AF9FU069833;Tow truck;;175;USD;2026-02-20;true;
KM8JU3AC9CU437314;Car purchase;;4700;USD;2026-02-20;true;
KM8JU3AC9CU437314;Inspection;;200;USD;2026-02-20;true;
KM8JU3AC9CU437314;Tow truck;;175;USD;2026-02-20;true;
KM8JU3AC9CU437314;Shipping line;;995;USD;2026-04-10;false;
KM8JU3AC9CU437314;Taxes;;975000;CRC;2026-04-20;false;
KM8JU3AC9CU437314;Warehouse;;59465;CRC;2026-04-23;false;
KM8JU3AC9CU437314;Fuel;;10000;CRC;2026-04-23;false;
KM8JU3AC9CU437314;Spare parts;Sensor ABS;35000;CRC;2026-04-23;false;
KM8JU3AC9CU437314;Other expenses;Encargado de retiro;15000;CRC;2026-04-23;false;
KM8JU3AC9CU437314;Other expenses;DEKRA;16793;CRC;2026-04-23;false;
5J6RE3H75BL009400;Car purchase;;4600;USD;2026-02-25;true;
5J6RE3H75BL009400;Inspection;;200;USD;2026-02-25;true;
5J6RE3H75BL009400;Tow truck;;175;USD;2026-02-25;true;
5J6RE3H75BL009400;Shipping line;;1035;USD;2026-04-23;false;
5NMZTDLB3JH085498;Car purchase;;7000;USD;2026-02-25;true;
5NMZTDLB3JH085498;Inspection;;200;USD;2026-02-25;true;
5NMZTDLB3JH085498;Tow truck;;175;USD;2026-02-25;true;
5NMZTDLB3JH085498;Shipping line;;995;USD;2026-03-31;false;
5NMZTDLB3JH085498;Taxes;;1479000;CRC;2026-04-23;false;
5NMZTDLB3JH085498;Warehouse;;73882;CRC;2026-04-27;false;
5NMZTDLB3JH085498;Other expenses;Encargado de retiro;15000;CRC;2026-04-27;false;
5NPD84LF7KH490380;Car purchase;;4430;USD;2026-02-28;true;
5NPD84LF7KH490380;Inspection;;200;USD;2026-02-28;true;
5NPD84LF7KH490380;Tow truck;;175;USD;2026-02-28;true;
5NPD84LF7KH490380;Other Juan Carlos expenses;;1450;USD;2026-02-28;true;
5NPD84LF7KH490380;Shipping line;;995;USD;2026-04-21;false;
5NPD84LF7KH490380;Taxes;;1062000;CRC;2026-04-30;false;
KM8J33A40JU753516;Car purchase;;6400;USD;2026-02-28;true;
KM8J33A40JU753516;Inspection;;200;USD;2026-02-28;true;
KM8J33A40JU753516;Tow truck;;235;USD;2026-02-28;true;
KM8J33A40JU753516;Shipping line;;995;USD;2026-04-20;false;
KM8J33A40JU753516;Taxes;;1376000;CRC;2026-04-30;false;
KM8JU3AG8EU888188;Car purchase;;4400;USD;2026-02-28;true;
KM8JU3AG8EU888188;Inspection;;200;USD;2026-02-28;true;
KM8JU3AG8EU888188;Tow truck;;175;USD;2026-02-28;true;
KM8JU3AG8EU888188;Shipping line;;995;USD;2026-04-20;false;
KM8JU3AG8EU888188;Taxes;;1155000;CRC;2026-04-23;false;
KM8JU3AG8EU888188;Warehouse;;67682;CRC;2026-04-27;false;
KM8JU3AG8EU888188;Other expenses;Encargado de retiro;10000;CRC;2026-04-27;false;
KM8JU3AG8FU103265;Car purchase;;4450;USD;2026-03-03;true;
KM8JU3AG8FU103265;Inspection;;200;USD;2026-03-03;true;
KM8JU3AG8FU103265;Tow truck;;225;USD;2026-03-03;true;
KM8JU3AG8FU103265;Shipping line;;995;USD;2026-04-20;false;
KM8J3CA42HU313257;Car purchase;;7400;USD;2026-03-03;true;
KM8J3CA42HU313257;Inspection;;200;USD;2026-03-03;true;
KM8J3CA42HU313257;Tow truck;;175;USD;2026-03-03;true;
KM8J3CA42HU313257;Shipping line;;1125;USD;2026-04-20;false;
KM8JU3AG3FU100564;Car purchase;;4940;USD;2026-03-05;true;
KM8JU3AG3FU100564;Inspection;;200;USD;2026-03-05;true;
KM8JU3AG3FU100564;Tow truck;;175;USD;2026-03-05;true;
KM8JU3AG3FU100564;Shipping line;;990;USD;2026-04-30;false;
KM8JU3AG3FU100564;Spare parts;Llantas;66500;CRC;2026-03-05;false;
WBAPM5C51BE576982;Car purchase;;7500;USD;2026-03-29;true;
WBAPM5C51BE576982;Inspection;;200;USD;2026-03-29;true;
WBAPM5C51BE576982;Tow truck;;175;USD;2026-03-29;true;